input.txt,and:53;the:37;to:28,en,positive,3075,9784,"wordfreq=0.006060s, compress=0.003451s, language=0.427951s, sentiment=0.024426s, encrypt=0.010977s",0.482372
input.txt,and:53;the:37;to:28,en,positive,3075,9784,"wordfreq=0.009193s, compress=0.006379s, language=0.344449s, sentiment=0.019562s, encrypt=0.012403s",0.409074
input.txt,and:53;the:37;to:28,en,positive,3075,9784,"wordfreq=0.006428s, compress=0.005773s, language=0.591790s, sentiment=0.031995s, encrypt=0.008489s",0.658671
input.txt,and:6;the:6;technology:4,en,positive,371,"wordfreq=0.007125s, compress=0.008165s, language=0.631444s, sentiment=0.007884s, translation=1.788760s",2.465527
input.txt,the:6;and:6;technology:4,en,positive,371,"wordfreq=0.007795s, compress=0.005269s, language=0.641089s, sentiment=0.008126s, translation=1.326326s",1.993903
input.txt,the:40;and:27;of:24,en,positive,1917,"wordfreq=0.015829s, compress=0.010549s, language=0.719452s, sentiment=0.018208s, translation=2.730844s",3.520695
input.txt,the:17;and:7;of:6,en,positive,756,"wordfreq=0.003181s, compress=0.003248s, language=0.348389s, sentiment=0.007335s, translation=2.813062s",3.177975
input.txt,the:17;and:7;of:6,en,positive,752,"wordfreq=0.006285s, compress=0.004654s, language=0.314381s, sentiment=0.005728s, translation=0.570568s",0.906721
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.002854s, compress=0.001963s, language=0.018613s, sentiment=0.009192s, translation=2.619257s",2.661216
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.030902s, compress=0.026025s, language=0.106349s, sentiment=0.039954s, translation=2.172141s",2.406911
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.005506s, compress=0.004680s, language=0.032808s, sentiment=0.012084s, translation=1.127968s",1.197264
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.002257s, compress=0.001324s, language=0.008502s, sentiment=0.008507s, translation=1.000260s",1.024654
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.004382s, compress=0.004209s, language=0.026471s, sentiment=0.011987s, translation=2.815426s",2.870036
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001856s, compress=0.001650s, language=0.008857s, sentiment=0.007801s, translation=0.987525s",1.011297
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001784s, compress=0.001360s, language=0.008977s, sentiment=0.007933s, translation=0.966544s",0.990520
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001860s, compress=0.001901s, language=0.009152s, sentiment=0.008065s, translation=1.071035s",1.095447
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001854s, compress=0.001296s, language=0.008444s, sentiment=0.008419s, translation=0.884965s",0.908247
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001967s, compress=0.001859s, language=0.008900s, sentiment=0.008265s, translation=1.580752s",1.605181
input.txt,the:38;and:20;of:18,en,positive,1878,"wordfreq=0.001567s, compress=0.001131s, language=0.008469s, sentiment=0.008118s, translation=0.895119s",0.918644
input.txt,and:16;the:12;technology:11,en,positive,1013,"wordfreq=0.005519s, compress=0.004528s, language=0.026385s, sentiment=0.007879s, translation=2.789422s",2.841950
input.txt,and:16;the:12;technology:11,en,positive,1013,"wordfreq=0.005897s, compress=0.005046s, language=0.475478s, sentiment=0.008051s, translation=2.213447s",2.722348
input.txt,and:29;the:27;technology:16,en,positive,1725,"wordfreq=0.002921s, compress=0.002968s, language=0.012795s, sentiment=0.007423s, translation=1.436017s",1.467553
input.txt,and:35;the:31;of:19,en,positive,2157,"wordfreq=0.001491s, compress=0.001567s, language=0.008824s, sentiment=0.007991s, translation=2.500337s",2.523709
input.txt,and:35;the:31;of:19,en,positive,2157,"wordfreq=0.002453s, compress=0.002205s, language=0.013026s, sentiment=0.009148s, translation=2.197627s",2.228786
input.txt,and:35;the:31;of:19,en,positive,2157,"wordfreq=0.005705s, compress=0.005547s, language=0.393406s, sentiment=0.010193s, translation=1.094168s",1.521255
input.txt,and:35;the:31;of:19,unknown,positive,2157,"wordfreq=0.012388s, compress=0.003058s, language=0.149128s, sentiment=0.124381s, translation=1.879408s",2.253224
input.txt,and:35;the:31;of:19,unknown,positive,2157,"wordfreq=0.008459s, compress=0.006502s, language=0.132258s, sentiment=0.105044s, translation=0.730502s",1.019916
input.txt,and:35;the:31;of:19,unknown,positive,2157,"wordfreq=0.015985s, compress=0.009105s, language=0.109699s, sentiment=0.194766s, translation=2.068342s",2.335539
input.txt,and:35;the:31;of:19,unknown,positive,2157,"wordfreq=0.008955s, compress=0.004742s, language=0.096886s, sentiment=0.133971s, translation=1.441986s",1.674906
